ts_iso,metric_value_raw,hpa_replicas,hpa_current,hpa_target,deploy_ready,deploy_replicas
2026-03-12T01:38:16+00:00,0,1,0,4k,1/1,1
2026-03-12T01:38:18+00:00,0,1,0,4k,1/1,1
2026-03-12T01:38:21+00:00,0,1,0,4k,1/1,1
2026-03-12T01:38:23+00:00,0,1,0,4k,1/1,1
2026-03-12T01:38:25+00:00,0,1,0,4k,1/1,1
2026-03-12T01:38:27+00:00,0,1,0,4k,1/1,1
2026-03-12T01:38:29+00:00,0,1,0,4k,1/1,1
2026-03-12T01:38:31+00:00,0,1,0,4k,1/1,1
2026-03-12T01:38:33+00:00,0,1,0,4k,1/1,1
2026-03-12T01:38:36+00:00,0,1,0,4k,1/1,1
2026-03-12T01:38:38+00:00,0,1,0,4k,1/1,1
2026-03-12T01:38:40+00:00,0,1,0,4k,1/1,1
2026-03-12T01:38:42+00:00,0,1,0,4k,1/1,1
2026-03-12T01:38:44+00:00,0,1,0,4k,1/1,1
2026-03-12T01:38:46+00:00,0,1,0,4k,1/1,1
2026-03-12T01:38:48+00:00,0,1,0,4k,1/1,1
2026-03-12T01:38:51+00:00,0,1,0,4k,1/1,1
2026-03-12T01:38:53+00:00,0,1,0,4k,1/1,1
2026-03-12T01:38:55+00:00,0,1,0,4k,1/1,1
2026-03-12T01:38:57+00:00,0,1,0,4k,1/1,1
2026-03-12T01:38:59+00:00,0,1,0,4k,1/1,1
2026-03-12T01:39:01+00:00,0,1,0,4k,1/1,1
2026-03-12T01:39:03+00:00,0,1,0,4k,1/1,1
2026-03-12T01:39:06+00:00,0,1,0,4k,1/1,1
2026-03-12T01:39:08+00:00,0,1,0,4k,1/1,1
2026-03-12T01:39:10+00:00,0,1,0,4k,1/1,1
2026-03-12T01:39:12+00:00,0,1,0,4k,1/1,1
2026-03-12T01:39:14+00:00,0,1,0,4k,1/1,1
2026-03-12T01:39:16+00:00,0,1,0,4k,1/1,1
2026-03-12T01:39:18+00:00,0,1,0,4k,1/1,1
2026-03-12T01:39:21+00:00,0,1,0,4k,1/1,1
2026-03-12T01:39:23+00:00,0,1,0,4k,1/1,1
2026-03-12T01:39:25+00:00,0,1,0,4k,1/1,1
2026-03-12T01:39:27+00:00,0,1,0,4k,1/1,1
2026-03-12T01:39:29+00:00,0,1,0,4k,1/1,1
2026-03-12T01:39:31+00:00,0,1,0,4k,1/1,1
2026-03-12T01:39:33+00:00,0,1,0,4k,1/1,1
2026-03-12T01:39:36+00:00,0,1,0,4k,1/1,1
2026-03-12T01:39:38+00:00,0,1,0,4k,1/1,1
2026-03-12T01:39:40+00:00,0,1,0,4k,1/1,1
2026-03-12T01:39:42+00:00,0,1,0,4k,1/1,1
2026-03-12T01:39:44+00:00,0,1,0,4k,1/1,1
2026-03-12T01:39:46+00:00,0,1,0,4k,1/1,1
2026-03-12T01:39:48+00:00,0,1,0,4k,1/1,1
2026-03-12T01:39:51+00:00,0,1,0,4k,1/1,1
2026-03-12T01:39:53+00:00,0,1,0,4k,1/1,1
2026-03-12T01:39:55+00:00,0,1,0,4k,1/1,1
2026-03-12T01:39:57+00:00,0,1,0,4k,1/1,1
2026-03-12T01:39:59+00:00,0,1,0,4k,1/1,1
2026-03-12T01:40:01+00:00,0,1,0,4k,1/1,1
2026-03-12T01:40:03+00:00,0,1,0,4k,1/1,1
2026-03-12T01:40:06+00:00,0,1,0,4k,1/1,1
2026-03-12T01:40:08+00:00,0,1,0,4k,1/1,1
2026-03-12T01:40:10+00:00,0,1,0,4k,1/1,1
2026-03-12T01:40:12+00:00,0,1,0,4k,1/1,1
2026-03-12T01:40:14+00:00,0,1,0,4k,1/1,1
2026-03-12T01:40:16+00:00,0,1,0,4k,1/1,1
2026-03-12T01:40:18+00:00,0,1,0,4k,1/1,1
2026-03-12T01:40:21+00:00,0,1,0,4k,1/1,1
2026-03-12T01:40:23+00:00,0,1,0,4k,1/1,1
2026-03-12T01:40:25+00:00,0,1,0,4k,1/1,1
2026-03-12T01:40:27+00:00,0,1,0,4k,1/1,1
2026-03-12T01:40:29+00:00,0,1,0,4k,1/1,1
2026-03-12T01:40:31+00:00,0,1,0,4k,1/1,1
2026-03-12T01:40:34+00:00,0,1,0,4k,1/1,1
2026-03-12T01:40:36+00:00,0,1,0,4k,1/1,1
2026-03-12T01:40:38+00:00,0,1,0,4k,1/1,1
2026-03-12T01:40:40+00:00,0,1,0,4k,1/1,1
2026-03-12T01:40:42+00:00,0,1,0,4k,1/1,1
2026-03-12T01:40:44+00:00,0,1,0,4k,1/1,1
2026-03-12T01:40:46+00:00,0,1,0,4k,1/1,1
2026-03-12T01:40:49+00:00,0,1,0,4k,1/1,1
